site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
,21,2023,4,24,2300,6.67,7.76,7.27,38.71,53.47,45.21,4.02,5.34,4.6,0.45,0.87,2210,0.35,293.1,38.96,0,0
,21,2023,4,24,2400,5.51,6.7,5.91,51.36,58.2,55.09,4.73,5.53,5.12,0.34,0.59,2324,0.22,326.5,48.39,0,0
,21,2023,4,25,100,5.31,6.12,5.75,46.73,58.84,52.48,4.38,5.48,4.82,0.32,0.6,29,0.25,351.7,36.24,0,0
,21,2023,4,25,200,4.42,5.31,4.87,51.23,61.64,54.78,4.49,5.19,4.73,0.28,0.43,119,0.23,27.63,35.44,0.03,0
,21,2023,4,25,300,3.68,4.42,3.99,56.91,65.38,61.29,4.66,5.32,4.98,0.28,0.41,206,0.26,359.8,23.11,-0.01,-0.01
,21,2023,4,25,400,3.2,3.88,3.57,58.41,67.7,62.83,4.62,5.3,4.95,0.31,0.52,343,0.2,8.44,49.1,0.13,-0.01
,21,2023,4,25,500,2.59,3.61,3.05,60.15,72.26,66.59,4.75,5.39,5.06,0.3,0.49,459,0.18,16.43,51.93,0.06,-0.01
,21,2023,4,25,600,2.32,2.93,2.6,63.34,71.92,67.61,4.75,5.3,4.98,0.29,0.51,519,0.21,9.07,42.47,1.49,0.06
,21,2023,4,25,700,2.39,2.73,2.52,68.17,74.23,71.6,4.99,5.44,5.24,0.29,0.51,602,0.23,349,36.77,24.85,1.02
,21,2023,4,25,800,2.52,4.43,3.29,64.02,73.69,68.48,5.04,5.6,5.29,0.29,0.45,734,0.08,47.65,68.62,61.22,4.12
,21,2023,4,25,900,4.43,8.5,6.29,58.44,69.19,65.28,5.58,6.79,6.22,0.34,0.63,849,0.24,174.5,43.88,208.7,9.76
,21,2023,4,25,1000,8.57,12.62,10.86,42.59,59.59,49.98,5.77,7.25,6.47,0.71,1.64,946,0.39,132.7,54.69,220.6,21.02
,21,2023,4,25,1100,12.59,15.3,13.98,39.59,48.84,44.19,6.17,7.81,7.05,1.14,2.24,1100,0.52,186.4,59.53,1139,63
,21,2023,4,25,1200,14.62,16.15,15.23,37.31,43.87,40.94,6.67,7.5,7.08,1.25,2.18,1158,0.51,189.7,62.37,1174,62.62
,21,2023,4,25,1300,15.16,16.59,15.87,36.22,43.73,39.64,6.57,7.74,7.14,1.3,2.2,1244,0.53,190.7,62.39,1356,71.47
,21,2023,4,25,1400,15.09,17,16.01,33.87,42.99,38.39,6.29,7.76,6.97,1.39,2.28,1348,0.83,204.3,51.32,1087,57.37
,21,2023,4,25,1500,14.31,15.02,14.65,41.01,46.69,43.23,6.85,7.97,7.2,1.02,1.81,1425,0.4,191,63.17,419.8,21.75
,21,2023,4,25,1600,14.11,14.62,14.35,40.81,47.34,44.04,6.68,7.72,7.2,0.86,1.73,1503,0.26,173,67.79,356.4,18.73
,21,2023,4,25,1700,13.8,14.48,14.15,43.94,52.17,48.14,7.18,8.34,7.76,1.01,1.48,1635,0.63,217.5,49.91,326.7,17.35
,21,2023,4,25,1800,12.65,13.87,13.3,48.26,54.96,51.13,7.44,8.36,7.8,0.87,1.64,1714,0.35,171,62.72,205.3,11
,21,2023,4,25,1900,11.7,12.58,12.15,53.13,58.54,55.44,7.55,8.14,7.85,0.6,1.68,1813,0.21,109.8,65.63,43.35,2.37
,21,2023,4,25,2000,10.95,11.7,11.28,57.01,61.87,59.74,7.68,8.24,7.99,0.57,1.41,1913,0.12,193.3,71.56,1.42,0.1
,21,2023,4,25,2100,10.48,10.95,10.73,57.55,62.59,60.52,7.51,8.08,7.8,0.42,1.25,2010,0.14,345.4,65.64,0,0.03
,21,2023,4,25,2200,10.34,10.68,10.45,59.32,64.76,61.53,7.48,8.17,7.78,0.35,0.67,2110,0.28,309.5,36.87,0,0.02
,21,2023,4,25,2300,9.93,10.44,10.22,60.61,65.17,62.4,7.47,8.22,7.77,0.36,0.77,2259,0.21,357,51.17,0,0.01
,21,2023,4,25,2400,9.39,10.07,9.6,61.87,69.35,65.24,7.51,8.24,7.79,0.4,0.73,2324,0.25,341.1,49.08,0,0.01
,21,2023,4,26,100,9.69,10.34,9.93,59.73,68.37,64.24,7.43,8.22,7.84,0.5,1.71,37,0.18,51.5,65.33,0,0.02
,21,2023,4,26,200,9.59,10.14,9.87,62.31,70.41,67.29,7.65,8.54,8.18,0.46,1.29,119,0.1,241.1,72.05,0,0.02
,21,2023,4,26,300,8.1,9.59,8.51,68.64,88.5,82.7,8.19,9.55,9.16,0.38,0.8,242,0.28,9.66,41.09,0,0.02
,21,2023,4,26,400,7.62,8.1,7.78,88.5,94.3,92.6,9.42,9.96,9.78,0.37,0.84,312,0.34,0.97,20.74,0,0.02
,21,2023,4,26,500,7.76,8.03,7.85,92.1,93.9,93.1,9.76,10,9.89,0.37,0.68,444,0.28,351.4,40.3,0,0.01
,21,2023,4,26,600,7.72,8.06,7.93,90,93.3,92.2,9.57,9.97,9.84,0.3,0.77,503,0.25,0.48,34.45,0.46,0.03
,21,2023,4,26,700,7.96,8.23,8.08,92,93.8,92.8,9.83,10.17,10,0.3,0.67,632,0.24,7.98,34.92,10.44,0.55
,21,2023,4,26,800,8.03,8.27,8.18,93.1,95.4,94.5,10.04,10.39,10.25,0.3,0.52,745,0.14,304.7,60.33,36.33,1.8
,21,2023,4,26,900,7.76,8.1,7.92,93.3,95.1,94.5,9.88,10.26,10.08,0.35,0.69,818,0.31,352.1,27.76,75,3.6
,21,2023,4,26,1000,7.69,7.96,7.77,95,96.1,95.6,9.97,10.26,10.1,0.31,0.51,922,0.3,2.2,12.4,86.2,3.95
,21,2023,4,26,1100,7.69,9.05,8.2,95.9,96.7,96.2,10.06,11.13,10.46,0.28,0.29,1009,0.11,28.38,63.84,205.8,10.42
,21,2023,4,26,1200,9.05,9.52,9.26,95.7,96.9,96.5,11.02,11.44,11.26,0.42,0.84,1117,0.29,230.4,45.03,233.2,12.38
